Dish,Ingredients,Procedure
Adhirasam,"Rice flour, jaggery, cardamom powder, oil for frying","1. Soak raw rice in water for a few hours, then drain and dry it. 2. Grind the rice into a fine powder. 3. Mix rice flour, powdered jaggery, cardamom powder, and water to form a smooth dough. 4. Shape the dough into small flat discs. 5. Deep fry in oil until golden brown."
Aloo Gobi,"Potatoes, cauliflower, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and cauliflower florets. 7. Cover and cook until vegetables are tender. 8. Garnish with cilantro and serve hot."
Aloo Matar,"Potatoes, green peas, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and green peas. 7. Cover and cook until potatoes are tender. 8. Garnish with cilantro and serve hot."
Aloo Methi,"Potatoes, fenugreek leaves, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and fenugreek leaves. 7. Cover and cook until potatoes are tender. 8. Garnish with cilantro and serve hot."
Aloo Shimla Mirch,"Potatoes, bell peppers, onions, tomatoes, ginger-garlic paste, spices, oil","1. Heat oil in a pan, add cumin seeds, and let them splutter. 2. Add chopped onions and sauté until golden brown. 3. Add ginger-garlic paste and sauté until the raw smell disappears. 4. Add chopped tomatoes and cook until soft. 5. Add turmeric, red chili powder, coriander powder, and salt. 6. Add diced potatoes and bell pepper slices. 7. Cover and cook until vegetables are tender. 8. Garnish with cilantro and serve hot."
Aloo Tikki,"Potatoes, onions, green chilies, ginger, coriander leaves, spices, oil","1. Boil and mash potatoes, then mix with chopped onions, green chilies, ginger, coriander leaves, and spices. 2. Shape the mixture into flat patties. 3. Heat oil in a pan and shallow fry the patties until golden brown on both sides. 4. Serve hot with chutney or yogurt."
Anarsa,"Rice flour, jaggery, sesame seeds, cardamom powder, oil for frying","1. Soak rice overnight, then drain and grind into a fine powder. 2. Mix powdered jaggery, cardamom powder, sesame seeds, and a little water with the rice flour to form a dough. 3. Roll out small balls of dough and flatten them into discs. 4. Deep fry in oil until golden brown. 5. Drain excess oil and let them cool before serving."
Ariselu,"Rice flour, jaggery, cardamom powder, oil for frying","1. Soak raw rice in water for a few hours, then drain and dry it. 2. Grind the rice into a fine powder. 3. In a pan, melt jaggery with water to form a syrup. 4. Mix rice flour, jaggery syrup, and cardamom powder to form a smooth dough. 5. Roll out small balls of dough and flatten them into discs. 6. Deep fry in oil until golden brown. 7. Drain excess oil and let them cool before serving."
Bandar Laddu,"Gram flour (besan), ghee, sugar, cardamom powder, nuts","1. Roast gram flour in ghee until aromatic. 2. Add sugar, cardamom powder, and nuts. 3. Mix well and let it cool slightly. 4. Shape into round laddus while still warm. 5. Store in an airtight container once cooled."
Basundi,"Milk, sugar, saffron, cardamom powder, nuts (like almonds, pistachios)","1. Boil milk in a heavy-bottomed pan and let it simmer on low heat, stirring occasionally until it reduces to about half its original volume. 2. Add sugar, saffron, and cardamom powder to the reduced milk and continue to cook until the mixture thickens further. 3. Remove from heat and let it cool. 4. Garnish with chopped nuts before serving."
